ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
2005,variation,,Grey A-Line Skirt - 24(18),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,1,Waist Size,24(18),,1,1
2006,variation,,Grey A-Line Skirt - 26(18),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,2,Waist Size,26(18),,1,1
2007,variation,,Grey A-Line Skirt - 26(20),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,3,Waist Size,26(20),,1,1
2008,variation,,Grey A-Line Skirt - 28(20),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,4,Waist Size,28(20),,1,1
2009,variation,,Grey A-Line Skirt - 28(22),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,5,Waist Size,28(22),,1,1
2010,variation,,Grey A-Line Skirt - 30(20),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,6,Waist Size,30(20),,1,1
2011,variation,,Grey A-Line Skirt - 30(22),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,7,Waist Size,30(22),,1,1
2012,variation,,Grey A-Line Skirt - 32(22),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,8,Waist Size,32(22),,1,1
2013,variation,,Grey A-Line Skirt - 32(20),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,9,Waist Size,32(20),,1,1
2014,variation,,Grey A-Line Skirt - 36(20),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,10,Waist Size,36(20),,1,1
2015,variation,,Grey A-Line Skirt - 36(22),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,11,Waist Size,36(22),,1,1
2016,variation,,Grey A-Line Skirt - 36(24),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,12,Waist Size,36(24),,1,1
2017,variation,,Grey A-Line Skirt - 38(22),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,13,Waist Size,38(22),,1,1
2018,variation,,Grey A-Line Skirt - 38(24),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,14,Waist Size,38(24),,1,1
2019,variation,,Grey A-Line Skirt - 40(22),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,15,Waist Size,40(22),,1,1
2020,variation,,Grey A-Line Skirt - 40(24),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,9.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,WAAS1,,,,,,16,Waist Size,40(24),,1,1
2021,variable,WAAS1,Grey A-Line Skirt,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,9.95,"Schoolwear,Schoolwear > Basic Schoolwear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/100-500x500.jpg,,,,,,,,,0,Waist Size,"24(18),26(18),26(20),28(20),28(22),30(20),30(22),32(22),32(20),36(20),36(22),36(24),38(22),38(24),40(22),40(24)",1,1,1
