ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
5860,variation,,Green/ White Check Summer Dress With White Collar - Age4/5,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Green-white%20summer%20dress-500x500.jpg,,,SUMMER7,,,,,,1,Size,Age4/5,,1,1
5861,variation,,Green/ White Check Summer Dress With White Collar - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Green-white%20summer%20dress-500x500.jpg,,,SUMMER7,,,,,,2,Size,Age5/6,,1,1
5862,variation,,Green/ White Check Summer Dress With White Collar - Age6/7,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Green-white%20summer%20dress-500x500.jpg,,,SUMMER7,,,,,,3,Size,Age6/7,,1,1
5863,variation,,Green/ White Check Summer Dress With White Collar - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Green-white%20summer%20dress-500x500.jpg,,,SUMMER7,,,,,,4,Size,Age7/8,,1,1
5864,variation,,Green/ White Check Summer Dress With White Collar - Age8/9,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Green-white%20summer%20dress-500x500.jpg,,,SUMMER7,,,,,,5,Size,Age8/9,,1,1
5865,variation,,Green/ White Check Summer Dress With White Collar - Age9/10(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Green-white%20summer%20dress-500x500.jpg,,,SUMMER7,,,,,,6,Size,Age9/10(+£1.00),,1,1
5866,variation,,Green/ White Check Summer Dress With White Collar - Age10/11(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Green-white%20summer%20dress-500x500.jpg,,,SUMMER7,,,,,,7,Size,Age10/11(+£1.00),,1,1
5867,variation,,Green/ White Check Summer Dress With White Collar - Age11/12(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Green-white%20summer%20dress-500x500.jpg,,,SUMMER7,,,,,,8,Size,Age11/12(+£1.00),,1,1
5868,variation,,Green/ White Check Summer Dress With White Collar - Age12/13(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Green-white%20summer%20dress-500x500.jpg,,,SUMMER7,,,,,,9,Size,Age12/13(+£1.00),,1,1
5869,variable,SUMMER7,Green/ White Check Summer Dress With White Collar,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,14.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Primary Schools,St John's C.E School (N20)",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Green-white%20summer%20dress-500x500.jpg,,,,,,,,,0,Size,"Age4/5,Age5/6,Age6/7,Age7/8,Age8/9,Age9/10(+£1.00),Age10/11(+£1.00),Age11/12(+£1.00),Age12/13(+£1.00)",1,1,1
